t,r
2018-05-11,0.178329693
2018-05-14,0.103329642
2018-05-15,-0.701953275
2018-05-16,0.409642808
2018-05-17,-0.092602466
2018-05-18,-0.259154287
2018-05-21,0.733386933
2018-05-22,-0.301223811
2018-05-23,0.306346293
2018-05-24,-0.199604885
2018-05-25,-0.238950494
2018-05-29,-1.156167703
2018-05-30,1.263417348
2018-05-31,-0.692164101
2018-06-01,1.067731786
2018-06-04,0.456108622
2018-06-05,0.080787795
2018-06-06,0.83822241
2018-06-07,-0.077225097
2018-06-08,0.313581572
2018-06-11,0.126236078
2018-06-12,0.162684874
2018-06-13,-0.395860704
2018-06-14,0.252223277
2018-06-15,-0.12153466
2018-06-18,-0.19952179
2018-06-19,-0.40603325
2018-06-20,0.17648744
2018-06-21,-0.645254739
2018-06-22,0.180946202
2018-06-25,-1.375450021
2018-06-26,0.217278299
2018-06-27,-0.853809225
2018-06-28,0.614077668
2018-06-29,0.083530051
2018-07-02,0.276585722
2018-07-03,-0.47909171
2018-07-05,0.866054103
2018-07-06,0.831806852
2018-07-09,0.888894742
2018-07-10,0.339541856
2018-07-11,-0.708354106
2018-07-12,0.868938682
2018-07-13,0.103224433
2018-07-16,-0.09857883
2018-07-17,0.404411267
2018-07-18,0.210473251
2018-07-19,-0.395714563
2018-07-20,-0.092749494
2018-07-24,0.648865521
2018-07-25,0.912780946
2018-07-26,-0.301573371
2018-07-27,-0.654831172
2018-07-30,-0.576694455
2018-07-31,0.478738045
2018-08-01,-0.090943976
2018-08-02,0.485732158
2018-08-03,0.454869449
2018-08-06,0.356026728
2018-08-07,0.287969594
2018-08-08,-0.028339762
2018-08-09,-0.146725406
2018-08-10,-0.717459063
2018-08-13,-0.397162037
2018-08-14,0.639000124
2018-08-15,-0.761685603
2018-08-16,0.787386164
2018-08-17,0.328595647
2018-08-20,0.242152506
2018-08-21,0.201055697
2018-08-22,-0.031442916
2018-08-23,-0.164362712
2018-08-24,0.615841765
2018-08-27,0.756480704
2018-08-28,0.036242077
2018-08-29,0.564368598
2018-08-30,-0.446413959
2018-08-31,-0.004136405
2018-09-04,-0.147298548
2018-09-05,-0.277593105
2018-09-06,-0.365536017
2018-09-07,-0.218084388
2018-09-10,0.189242461
2018-09-11,0.368757692
2018-09-12,0.03012043
2018-09-13,0.532014395
2018-09-14,0.027542045
2018-09-17,-0.555748755
2018-09-18,0.53647012
2018-09-19,0.120774416
2018-09-20,0.786786659
2018-09-21,-0.062797565
2018-09-24,-0.333076026
2018-09-25,-0.127505133
2018-09-26,-0.315691201
2018-09-27,0.265604406
2018-09-28,-0.006863159
2018-10-01,0.373015259
2018-10-02,-0.047192234
2018-10-03,0.072147238
2018-10-04,-0.82303014
2018-10-05,-0.550510516
2018-10-08,-0.031192922
2018-10-09,-0.150903105
2018-10-10,-3.318150228
2018-10-11,-2.107494213
2018-10-12,1.39040257
2018-10-15,-0.575290273
2018-10-16,2.125803463
2018-10-17,-0.019220434
2018-10-18,-1.430495947
2018-10-19,-0.065379901
2018-10-22,-0.425107279
2018-10-23,-0.552727833
2018-10-24,-3.124646213
2018-10-25,1.84413341
2018-10-26,-1.771125873
2018-10-29,-0.643470078
2018-10-30,1.557932495
2018-10-31,1.073006676
2018-11-01,1.049938109
2018-11-02,-0.645092667
2018-11-05,0.572444113
2018-11-06,0.62436606
2018-11-07,2.091662148
2018-11-08,-0.240193551
2018-11-09,-0.932416865
2018-11-12,-1.97271845
2018-11-13,-0.160407918
2018-11-14,-0.745575926
2018-11-15,1.050753914
2018-11-16,0.223158034
2018-11-19,-1.684836883
2018-11-20,-1.842711601
2018-11-21,0.311436069
2018-11-23,-0.657646777
2018-11-26,1.546912207
2018-11-27,0.323011568
2018-11-28,2.272427152
2018-11-29,-0.218175802
2018-11-30,0.762629224
2018-12-03,1.133506814
2018-12-04,-3.26044378
2018-12-06,-0.181220228
2018-12-07,-2.363833773
2018-12-10,0.170765069
2018-12-11,-0.019338729
2018-12-12,0.547619156
2018-12-13,-0.047533
2018-12-14,-1.902780454
2018-12-17,-2.104121713
2018-12-18,-0.001178293
2018-12-19,-1.550424791
2018-12-20,-1.610509125
2018-12-21,-2.070484298
2018-12-24,-2.734172505
2018-12-26,4.839513425
2018-12-27,0.824896723
2018-12-28,-0.101734931
2018-12-31,0.86565367
2019-01-02,0.108030331
2019-01-03,-2.499595632
2019-01-04,3.365192392
2019-01-07,0.716696596
2019-01-08,0.957774249
2019-01-09,0.405085631
2019-01-10,0.44043327
2019-01-11,-0.012325802
2019-01-14,-0.536873603
2019-01-15,1.082374203
2019-01-16,0.209723915
2019-01-17,0.771190021
2019-01-18,1.304828445
2019-01-22,-1.407310804
2019-01-23,0.213197049
2019-01-24,0.1321662
2019-01-25,0.841527092
2019-01-28,-0.787801688
2019-01-29,-0.142321838
2019-01-30,1.554509448
2019-01-31,0.853000031
2019-02-01,0.064689631
2019-02-04,0.689755687
2019-02-05,0.461348319
2019-02-06,-0.206611266
2019-02-07,-0.945231814
2019-02-08,0.063540384
2019-02-11,0.066452544
2019-02-12,1.27723806
2019-02-13,0.264913349
2019-02-14,-0.223747517
2019-02-15,1.089268702
2019-02-19,0.154799907
2019-02-20,0.189034614
2019-02-21,-0.363291457
2019-02-22,0.629704418
2019-02-25,0.129185808
2019-02-26,-0.088372257
2019-02-27,-0.051198603
2019-02-28,-0.270031524
2019-03-01,0.682098174
2019-03-04,-0.385568995
2019-03-05,-0.121445539
2019-03-06,-0.651655534
2019-03-07,-0.822042043
2019-03-08,-0.214864318
2019-03-11,1.456725584
2019-03-12,0.317472542
2019-03-13,0.678549492
2019-03-14,-0.087549163
2019-03-15,0.49191286
2019-03-18,0.374854122
2019-03-19,0.003882638
2019-03-20,-0.320294407
2019-03-21,1.089254444
2019-03-22,-1.916641355
2019-03-25,-0.086082348
2019-03-26,0.711787326
2019-03-27,-0.465881321
2019-03-28,0.35831683
2019-03-29,0.66941739
2019-04-01,1.148510527
2019-04-02,0.006626801
2019-04-03,0.209737905
2019-04-04,0.214508425
2019-04-05,0.4573765
2019-04-08,0.105039486
2019-04-09,-0.589160966
2019-04-10,0.34228141
2019-04-11,-0.004846873
2019-04-12,0.660123068
2019-04-15,-0.068122472
2019-04-16,0.05539604
2019-04-17,-0.232456132
2019-04-18,0.162603902
2019-04-22,0.098054571
2019-04-23,0.878872956
2019-04-24,-0.215664412
2019-04-25,-0.033483325
2019-04-26,0.456184328
2019-04-29,0.111173263
2019-04-30,0.076084117
2019-05-01,-0.738486076
2019-05-02,-0.205440125
2019-05-03,0.946302897
2019-05-06,-0.430763825
2019-05-07,-1.666934486
2019-05-08,-0.154410175
2019-05-09,-0.317549469
2019-05-10,0.389752891
2019-05-13,-2.458678119
2019-05-14,0.80936251
2019-05-15,0.582850009
2019-05-16,0.880296904
2019-05-17,-0.598009701
2019-05-20,-0.680804713
2019-05-21,0.864249008
2019-05-22,-0.289471218
2019-05-23,-1.195387709
2019-05-24,0.154364181
2019-05-28,-0.880871994
2019-05-29,-0.688690937
2019-05-30,0.225429866
2019-05-31,-1.333008966
2019-06-03,-0.29039216
2019-06-04,2.133405594
2019-06-05,0.820330492
2019-06-06,0.619389224
2019-06-07,1.02293735
2019-06-10,0.461849675
2019-06-11,-0.023215161
2019-06-12,-0.195289866
